State,abbr,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1995,1990,Rate2018,Rank2018,Rate2017,Rank2017,Rate2016,Rank2016,Rate2015,Rank2015,Rate2014,Rank2014,Rate2013,Rank2013,Rate2012,Rank2012,Rate2011,Rank2011,Rate2010,Rank2010,Rate2009,Rank2009,Rate2008,Rank2008,Rate2007,Rank2007,Rate2006,Rank2006,Rate2005,Rank2005,Rate2004,Rank2004,Rate2003,Rank2003,Rate2002,Rank2002,Rate2001,Rank2001,Rate2000,Rank2000
Alabama,AL,3.7,3.7,3.8,3.9,3.8,3.7,3.6,4.3,4.4,4.4,4.3,4.5,4.9,4.9,4.9,5.2,5.4,5.4,5.5,5.7,6,6.1,3.9,27,4.4,29,5.8,44,6.1,42,6.8,39,7.2,29,8,32,9.6,40,10.5,42,11,45,5.7,31,4,17,4,16,4.5,18,5.7,36,6,34,5.9,37,5.1,37,4.6,40
Alaska,AK,3.7,3.6,3.9,4.1,4,4.5,4.5,4.8,4.7,4.4,4.4,4.3,4.2,4.3,4.3,3.9,4.6,4.3,3.9,5,5,5.5,6.5,51,6.9,51,6.9,51,6.5,47,6.9,43,7,27,7.1,20,7.6,19,7.9,16,7.7,19,6.7,46,6.3,50,6.6,50,6.9,49,7.5,50,7.8,50,7.3,49,6.4,50,6.4,51
Arizona,AZ,3,3.5,3.4,3.6,3.9,3.9,4.3,3.9,3.5,3.6,3.8,4,4,4.2,4.3,4.4,4.8,4,4.6,4.6,6.2,6.9,4.7,45,4.9,40,5.4,39,6.1,42,6.8,39,7.7,35,8.3,35,9.5,38,10.4,38,9.9,36,6.2,36,3.9,16,4.2,20,4.7,21,5,21,5.7,27,6.1,39,4.8,30,4,29
Arkansas,AR,4.1,3.7,3.9,4.8,4.8,5,5.3,5.3,5.7,5.7,5.5,5.9,5.8,6,6.1,6,6.2,6.2,6.4,6.2,6.3,6.9,3.6,22,3.7,16,4,14,5,24,6,25,7.2,29,7.6,28,8.3,26,8.2,21,7.8,21,5.5,28,5.3,43,5.2,42,5.2,33,5.7,36,5.9,32,5.5,25,5,34,4.3,36
California,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,4.3,39,4.8,39,5.5,42,6.2,44,7.5,47,8.9,48,10.4,49,11.7,50,12.2,49,11.2,47,7.3,49,5.4,44,4.9,35,5.4,36,6.2,42,6.8,44,6.7,48,5.4,44,4.9,42
Colorado,CO,3.3,3.2,3.6,3.7,3.9,4.1,4.3,4.4,4.3,4.3,4.3,4.4,4.5,4.4,4.4,4.3,4.7,4.7,4.7,4.8,0,5.5,3.2,13,2.8,4,3.3,7,3.9,10,5,15,6.9,25,7.9,31,8.4,29,8.7,26,7.3,15,4.8,16,3.7,13,4.3,22,5,26,5.5,32,6,34,5.5,25,3.8,12,2.8,7
Connecticut,CT,2.9,2.9,3.2,3.1,2.6,2.8,2.7,3.1,2.9,3,3.4,3.2,3.1,3,3.1,3.2,3.3,3.2,3.3,3,2.9,3.2,4.1,33,4.7,35,5.1,33,5.7,35,6.6,35,7.8,38,8.3,35,8.8,31,9.1,30,7.9,23,5.7,31,4.5,26,4.3,22,4.9,24,5,21,5.4,20,4.3,10,3.1,2,2.4,2
Delaware,DE,2.8,3,3.1,3.1,3.3,3.4,3.5,3.6,3.5,3.6,3.5,3.7,3.8,3.8,3.7,3.9,3.5,3.9,3.9,4.5,5,4.4,3.8,25,4.5,31,4.5,20,4.9,22,5.7,20,6.7,19,7.2,23,7.5,17,8.4,23,8.3,27,4.9,18,3.4,9,3.6,12,4.1,11,4,9,4.3,6,4,4,3.5,9,3.7,22
District of Columbia,DC,2.5,2.5,2.7,2.8,2.6,2.8,2.9,2.9,2.8,2.7,2.7,1.7,2.1,2,1.8,2,2.4,2.9,3.2,3.6,3.2,4.5,5.7,50,6.1,50,6.1,47,6.9,51,7.8,50,8.5,45,9,41,10.2,44,9.4,31,9.3,33,6.5,42,5.5,46,5.8,47,6.4,46,7.8,51,6.8,44,6.4,43,6.3,48,5.6,50
Florida,FL,3.6,3.6,3.9,4,4,4.1,4.2,4.5,4.4,4.2,4.3,4.6,4.7,4.6,4.7,5,5.1,5.2,5.1,5.1,5.5,6.3,3.6,22,4.2,23,4.8,25,5.5,31,6.3,29,7.2,29,8.5,38,10,42,11.1,46,10.4,42,6.3,38,4,17,3.2,6,3.7,7,4.6,13,5.2,17,5.6,28,4.7,29,3.7,22
